		主表		
序号	名字	类型	种类	地址
0	max	(8 , 0)	  f	(20 , -1)
1	pl	(8 , 0)	  v	(21 , 0)
2	de	(8 , 0)	  v	(21 , 4)
3	a	(8 , 0)	  v	(21 , 8)
4	b	(8 , 0)	  v	(21 , 12)
5	c	(8 , 0)	  v	(21 , 16)
6	t1	(8 , 4)	  v	(21 , 20)
7	t2	(8 , 0)	  v	(21 , 21)
8	t3	(8 , 0)	  v	(21 , 25)
9	t4	(8 , 4)	  v	(21 , 29)
10	t5	(8 , 0)	  v	(21 , 30)
11	t6	(8 , 0)	  v	(21 , 34)
12	t7	(8 , 0)	  v	(21 , 38)
13	min	(8 , 0)	  f	(20 , -2)
14	t	(8 , 0)	  v	(22 , 0)
15	r	(8 , 0)	  v	(22 , 4)
16	t8	(8 , 0)	  v	(22 , 8)
17	t9	(8 , 0)	  v	(22 , 12)
18	t10	(8 , 0)	  v	(22 , 16)
19	f	(8 , 4)	  v	(20 , 0)
20	a	(8 , 0)	  v	(20 , 1)
21	b	(8 , 0)	  v	(20 , 5)
22	c	(8 , 0)	  v	(20 , 9)
23	kl	(8 , 1)	  v	(20 , 13)
24	t11	(8 , 4)	  v	(20 , 21)
25	hu	(8 , 3)	  v	(20 , 22)
26	l	(8 , 2)	  v	(20 , 22)
27	t12	(8 , 0)	  v	(20 , 23)
28	t13	(8 , 0)	  v	(20 , 27)
29	t14	(8 , 0)	  v	(20 , 31)
30	t15	(8 , 0)	  v	(20 , 35)
31	m	(8 , 6)	  v	(20 , 39)
32	t16	(8 , 0)	  v	(20 , 59)
33	t17	(8 , 0)	  v	(20 , 79)
34	t18	(8 , 0)	  v	(20 , 99)
35	t19	(8 , 0)	  v	(20 , 119)
36	t20	(8 , 0)	  v	(20 , 139)
37	t21	(8 , 4)	  v	(20 , 159)
38	t22	(8 , 0)	  v	(20 , 160)
39	t23	(8 , 0)	  v	(20 , 164)
40	t24	(8 , 4)	  v	(20 , 168)
41	t25	(8 , 0)	  v	(20 , 169)
42	t26	(8 , 0)	  v	(20 , 173)
43	t27	(8 , 0)	  v	(20 , 177)
44	t28	(8 , 0)	  v	(20 , 181)
45	t29	(8 , 0)	  v	(20 , 185)
46	t30	(8 , 0)	  v	(20 , 189)
47	t31	(8 , 4)	  v	(20 , 193)
48	t32	(8 , 0)	  v	(20 , 194)
49	t33	(8 , 0)	  v	(20 , 198)
50	t34	(8 , 0)	  v	(20 , 202)
51	t35	(8 , 0)	  v	(20 , 206)
52	t36	(8 , 0)	  v	(20 , 210)
53	t37	(8 , 0)	  v	(20 , 214)
54	t38	(8 , 0)	  v	(20 , 218)
55	t39	(8 , 0)	  v	(20 , 222)
56	t40	(8 , 0)	  v	(20 , 226)
57	t41	(8 , 0)	  v	(20 , 230)
58	t42	(8 , 0)	  v	(20 , 234)

